method,disk_radius,min_area_pixels,median_size,n_segments,slic_compactness,f1
morphological+slic,4,6,0,300.0,0.05,0.0
morphological+slic,4,6,0,400.0,0.1,0.0
morphological+slic,4,6,0,400.0,0.05,0.0
median3+morphological+slic,4,6,3,200.0,0.1,0.0
median3+morphological+slic,4,6,3,300.0,0.05,0.0
median5+morphological+slic,4,6,5,200.0,0.05,0.0
median3+morphological+slic,4,6,3,200.0,0.05,0.0
median5+morphological+slic,4,6,5,200.0,0.1,0.0
median5+morphological+slic,4,6,5,300.0,0.05,0.0
morphological+slic,4,8,0,400.0,0.05,0.0
median7+morphological+slic,4,6,7,200.0,0.05,0.0
morphological+slic,4,8,0,400.0,0.1,0.0
median3+morphological+slic,4,8,3,200.0,0.05,0.0
median3+morphological+slic,4,8,3,200.0,0.1,0.0
median3+morphological+slic,4,8,3,300.0,0.05,0.0
